figure,panel_metric,arm,run_index,step,value
fig_msp_learning_curves,eval_lpips_last,"Return RC (Ours, full)",1,20,0.20694906171411276
fig_msp_learning_curves,eval_lpips_last,"Return RC (Ours, full)",1,30,0.2049865610897541
fig_msp_learning_curves,eval_lpips_last,"Return RC (Ours, full)",2,0,0.22598793730139732
fig_msp_learning_curves,eval_lpips_last,"Return RC (Ours, full)",2,10,0.21667801402509212
fig_msp_learning_curves,eval_lpips_last,"Return RC (Ours, full)",2,20,0.20843874663114548
fig_msp_learning_curves,eval_lpips_last,"Return RC (Ours, full)",2,30,0.20475246291607618
fig_msp_learning_curves,eval_lpips_last,"Return RC (Ours, full)",3,0,0.22598793730139732
fig_msp_learning_curves,eval_lpips_last,"Return RC (Ours, full)",3,10,0.2148751448839903
fig_msp_learning_curves,eval_lpips_last,"Return RC (Ours, full)",3,20,0.2049261573702097
fig_msp_learning_curves,eval_lpips_last,"Return RC (Ours, full)",3,30,0.20261048898100853
fig_msp_learning_curves,eval_lpips_last,"Return RC (Ours, full)",4,0,0.22598793730139732
fig_msp_learning_curves,eval_lpips_last,"Return RC (Ours, full)",4,10,0.2168072611093521
fig_msp_learning_curves,eval_lpips_last,"Return RC (Ours, full)",4,20,0.21092602983117104
fig_msp_learning_curves,eval_lpips_last,"Return RC (Ours, full)",4,30,0.209788229316473
fig_msp_learning_curves,eval_lpips_last,Gain return (Ablation),0,0,0.22598793730139732
fig_msp_learning_curves,eval_lpips_last,Gain return (Ablation),0,10,0.2161920852959156
fig_msp_learning_curves,eval_lpips_last,Gain return (Ablation),0,20,0.2063200529664755
fig_msp_learning_curves,eval_lpips_last,Gain return (Ablation),0,30,0.20071270875632763
fig_msp_learning_curves,eval_lpips_last,Gain return (Ablation),1,0,0.22598793730139732
fig_msp_learning_curves,eval_lpips_last,Gain return (Ablation),1,10,0.2188201267272234
fig_msp_learning_curves,eval_lpips_last,Gain return (Ablation),1,20,0.21181881427764893
fig_msp_learning_curves,eval_lpips_last,Gain return (Ablation),1,30,0.20954862423241138
fig_msp_learning_curves,eval_lpips_last,Gain return (Ablation),2,0,0.22598793730139732
fig_msp_learning_curves,eval_lpips_last,Gain return (Ablation),2,10,0.2176458854228258
fig_msp_learning_curves,eval_lpips_last,Gain return (Ablation),2,20,0.20827142987400293
fig_msp_learning_curves,eval_lpips_last,Gain return (Ablation),2,30,0.2045054491609335
fig_msp_learning_curves,eval_lpips_last,Gain return (Ablation),3,0,0.22598793730139732
fig_msp_learning_curves,eval_lpips_last,Gain return (Ablation),3,10,0.21308919042348862
